Level,BoardSize,DifficultyBand,DifficultyScore,StarterCats,LogicalSteps,InitialForcedMoves,LongestChain,Archetype,UniqueSolution,LogicOnlySolvable,ValidationStatus
33,6,Easy,258,0,6,0,6,SmallRegionOpening,True,True,PASS
34,6,Easy,274,0,7,0,6,LongCorridor,True,True,PASS
35,6,Easy,326,0,12,0,6,EdgePressure,True,True,PASS
36,6,Easy,306,0,9,0,6,TwoSidedSolve,True,True,PASS
37,6,Easy,334,0,11,0,6,DiagonalChain,True,True,PASS
38,6,Easy,326,0,10,0,6,SpiralReasoning,True,True,PASS
39,6,Easy,330,0,10,0,6,RowCascade,True,True,PASS
40,6,Easy,334,0,10,0,6,CenterOut,True,True,PASS
41,6,Easy,314,0,8,0,6,ColumnCascade,True,True,PASS
42,6,Easy,294,0,7,0,6,LateUnlock,True,True,PASS
43,6,Easy,322,0,8,0,6,Staircase,True,True,PASS
44,6,Easy,362,0,11,0,6,SmallRegionOpening,True,True,PASS
45,6,Easy,414,0,15,0,6,LargeAmbiguousRegion,True,True,PASS
46,7,Easy+,360,1,9,1,6,CenterLock,True,True,PASS
47,7,Easy+,431,0,15,0,7,TwoSidedSolve,True,True,PASS
48,7,Easy+,375,0,10,0,7,DiagonalChain,True,True,PASS
49,7,Easy+,336,1,7,1,6,SpiralReasoning,True,True,PASS
50,7,Easy+,383,0,10,0,7,RowCascade,True,True,PASS
51,7,Easy+,375,0,9,0,7,CenterOut,True,True,PASS
52,7,Easy+,384,1,9,1,6,ColumnCascade,True,True,PASS
53,7,Easy+,479,0,17,0,7,LateUnlock,True,True,PASS
54,7,Easy+,507,0,19,0,7,LongCorridor,True,True,PASS
55,7,Easy+,420,1,11,1,6,EdgePressure,True,True,PASS
56,7,Easy+,407,0,11,0,7,LargeAmbiguousRegion,True,True,PASS
57,7,Easy+,495,0,17,0,7,CenterLock,True,True,PASS
58,7,Easy+,439,0,12,0,7,TwoSidedSolve,True,True,PASS
59,7,Easy+,443,0,12,0,7,DiagonalChain,True,True,PASS
60,7,Easy+,387,0,7,0,7,SpiralReasoning,True,True,PASS
61,7,Easy+,463,0,13,0,7,RowCascade,True,True,PASS
62,7,Easy+,395,0,7,0,7,CenterOut,True,True,PASS
63,7,Easy+,459,0,13,0,7,Staircase,True,True,PASS
64,7,Easy+,499,0,15,0,7,SmallRegionOpening,True,True,PASS
65,7,Easy+,443,0,10,0,7,LongCorridor,True,True,PASS
66,7,Easy+,411,0,7,0,7,EdgePressure,True,True,PASS
67,7,Easy+,463,0,11,0,7,LargeAmbiguousRegion,True,True,PASS
68,7,Easy+,479,0,12,0,7,CenterLock,True,True,PASS
69,7,Easy+,471,0,11,0,7,TwoSidedSolve,True,True,PASS
70,7,Easy+,487,0,13,0,7,DiagonalChain,True,True,PASS
71,7,Medium,431,0,7,0,7,SpiralReasoning,True,True,PASS
72,7,Medium,495,0,12,0,7,ColumnCascade,True,True,PASS
73,7,Medium,499,0,12,0,7,LateUnlock,True,True,PASS
74,7,Medium,467,0,9,0,7,Staircase,True,True,PASS
75,7,Medium,531,0,14,0,7,SmallRegionOpening,True,True,PASS
76,7,Medium,487,0,10,0,7,LongCorridor,True,True,PASS
77,7,Medium,455,0,8,0,7,EdgePressure,True,True,PASS
78,7,Medium,519,0,12,0,7,LargeAmbiguousRegion,True,True,PASS
79,7,Medium,475,0,8,0,7,CenterLock,True,True,PASS
80,7,Medium,527,0,12,0,7,TwoSidedSolve,True,True,PASS
81,7,Medium,519,0,11,0,7,RowCascade,True,True,PASS
82,7,Medium,571,0,15,0,7,CenterOut,True,True,PASS
83,7,Medium,491,0,8,0,7,ColumnCascade,True,True,PASS
84,7,Medium,531,0,12,0,7,LateUnlock,True,True,PASS
85,7,Medium,487,0,7,0,7,Staircase,True,True,PASS
86,7,Medium,599,0,16,0,7,SmallRegionOpening,True,True,PASS
87,7,Medium,555,0,12,0,7,LongCorridor,True,True,PASS
88,7,Medium,499,0,7,0,7,EdgePressure,True,True,PASS
89,7,Medium,599,0,15,0,7,LargeAmbiguousRegion,True,True,PASS
90,7,Medium,531,0,9,0,7,DiagonalChain,True,True,PASS
91,7,Medium,547,0,11,0,7,SpiralReasoning,True,True,PASS
92,7,Medium,515,0,7,0,7,RowCascade,True,True,PASS
93,7,Medium,579,0,12,0,7,CenterOut,True,True,PASS
94,7,Medium,535,0,8,0,7,ColumnCascade,True,True,PASS
95,7,Medium,587,0,12,0,7,LateUnlock,True,True,PASS
96,7,Medium,591,0,12,0,7,Staircase,True,True,PASS
97,7,Medium,535,0,7,0,7,SmallRegionOpening,True,True,PASS
98,7,Medium,563,0,10,0,7,LongCorridor,True,True,PASS
99,7,Medium,543,0,7,0,7,CenterLock,True,True,PASS
100,7,Medium,595,0,11,0,7,TwoSidedSolve,True,True,PASS
101,8,Medium,565,1,7,1,7,DiagonalChain,True,True,PASS
102,8,Medium,576,0,8,0,8,SpiralReasoning,True,True,PASS
103,8,Medium,573,1,7,1,7,RowCascade,True,True,PASS
104,8,Medium,656,0,14,0,8,CenterOut,True,True,PASS
105,8,Medium,629,1,12,1,7,ColumnCascade,True,True,PASS
106,8,Medium,628,0,11,0,8,LateUnlock,True,True,PASS
107,8,Medium,589,1,7,1,7,Staircase,True,True,PASS
108,8,Medium,600,0,8,0,8,EdgePressure,True,True,PASS
109,8,Medium,616,0,9,0,8,LargeAmbiguousRegion,True,True,PASS
110,8,Medium,668,0,13,0,8,CenterLock,True,True,PASS
111,8,Medium,732,0,18,0,8,TwoSidedSolve,True,True,PASS
112,8,Medium,604,0,8,0,8,DiagonalChain,True,True,PASS
113,8,Medium,632,0,9,0,8,SpiralReasoning,True,True,PASS
114,8,Medium,804,0,23,0,8,RowCascade,True,True,PASS
115,8,Medium,688,0,13,0,8,CenterOut,True,True,PASS
116,8,Medium,644,0,9,0,8,ColumnCascade,True,True,PASS
117,8,Medium,696,0,13,0,8,SmallRegionOpening,True,True,PASS
118,8,Medium,724,0,15,0,8,LongCorridor,True,True,PASS
119,8,Medium,632,0,8,0,8,EdgePressure,True,True,PASS
120,8,Medium,696,0,12,0,8,LargeAmbiguousRegion,True,True,PASS
121,8,Medium,700,0,12,0,8,CenterLock,True,True,PASS
122,8,Medium,752,0,16,0,8,TwoSidedSolve,True,True,PASS
123,8,Medium,660,0,8,0,8,DiagonalChain,True,True,PASS
124,8,Medium,700,0,11,0,8,SpiralReasoning,True,True,PASS
125,8,Medium,668,0,8,0,8,RowCascade,True,True,PASS
126,8,Medium,744,0,15,0,8,LateUnlock,True,True,PASS
127,8,Medium,796,0,18,0,8,Staircase,True,True,PASS
128,8,Medium,764,0,15,0,8,SmallRegionOpening,True,True,PASS
129,8,Medium,756,0,14,0,8,LongCorridor,True,True,PASS
130,8,Medium,712,0,10,0,8,EdgePressure,True,True,PASS
131,8,Medium-Hard,692,0,8,0,8,LargeAmbiguousRegion,True,True,PASS
132,8,Medium-Hard,732,0,11,0,8,CenterLock,True,True,PASS
133,8,Medium-Hard,688,0,8,0,8,TwoSidedSolve,True,True,PASS
134,8,Medium-Hard,752,0,12,0,8,DiagonalChain,True,True,PASS
135,8,Medium-Hard,828,0,18,0,8,CenterOut,True,True,PASS
136,8,Medium-Hard,772,0,13,0,8,ColumnCascade,True,True,PASS
137,8,Medium-Hard,716,0,8,0,8,LateUnlock,True,True,PASS
138,8,Medium-Hard,804,0,15,0,8,Staircase,True,True,PASS
139,8,Medium-Hard,784,0,13,0,8,SmallRegionOpening,True,True,PASS
140,8,Medium-Hard,728,0,9,0,8,LongCorridor,True,True,PASS
141,8,Medium-Hard,864,0,19,0,8,EdgePressure,True,True,PASS
142,8,Medium-Hard,796,0,13,0,8,LargeAmbiguousRegion,True,True,PASS
143,8,Medium-Hard,776,0,11,0,8,CenterLock,True,True,PASS
144,8,Medium-Hard,744,0,8,0,8,SpiralReasoning,True,True,PASS
145,8,Medium-Hard,772,0,10,0,8,RowCascade,True,True,PASS
146,8,Medium-Hard,812,0,13,0,8,CenterOut,True,True,PASS
147,8,Medium-Hard,768,0,10,0,8,ColumnCascade,True,True,PASS
148,8,Medium-Hard,856,0,16,0,8,LateUnlock,True,True,PASS
149,8,Medium-Hard,776,0,9,0,8,Staircase,True,True,PASS
150,8,Medium-Hard,768,0,8,0,8,SmallRegionOpening,True,True,PASS
151,8,Medium-Hard,772,0,8,0,8,LongCorridor,True,True,PASS
152,8,Medium-Hard,884,0,17,0,8,EdgePressure,True,True,PASS
153,8,Medium-Hard,828,0,12,0,8,TwoSidedSolve,True,True,PASS
154,8,Medium-Hard,892,0,18,0,8,DiagonalChain,True,True,PASS
155,8,Medium-Hard,824,0,11,0,8,SpiralReasoning,True,True,PASS
156,8,Medium-Hard,852,0,13,0,8,RowCascade,True,True,PASS
157,8,Medium-Hard,808,0,9,0,8,CenterOut,True,True,PASS
158,8,Medium-Hard,860,0,13,0,8,ColumnCascade,True,True,PASS
159,8,Medium-Hard,888,0,15,0,8,LateUnlock,True,True,PASS
160,8,Medium-Hard,856,0,12,0,8,Staircase,True,True,PASS
161,9,Hard,814,1,8,1,8,SmallRegionOpening,True,True,PASS
162,9,Hard,957,0,19,0,9,LargeAmbiguousRegion,True,True,PASS
163,9,Hard,949,0,18,0,9,CenterLock,True,True,PASS
164,9,Hard,862,1,10,1,8,TwoSidedSolve,True,True,PASS
165,9,Hard,1089,0,29,0,9,DiagonalChain,True,True,PASS
166,9,Hard,1009,0,22,0,9,SpiralReasoning,True,True,PASS
167,9,Hard,850,1,8,1,8,RowCascade,True,True,PASS
168,9,Hard,1089,0,29,0,9,CenterOut,True,True,PASS
169,9,Hard,1057,0,25,0,9,ColumnCascade,True,True,PASS
170,9,Hard,953,0,16,0,9,LateUnlock,True,True,PASS
171,9,Hard,981,0,18,0,9,LongCorridor,True,True,PASS
172,9,Hard,901,0,11,0,9,EdgePressure,True,True,PASS
173,9,Hard,941,0,14,0,9,LargeAmbiguousRegion,True,True,PASS
174,9,Hard,1029,0,21,0,9,CenterLock,True,True,PASS
175,9,Hard,1069,0,25,0,9,TwoSidedSolve,True,True,PASS
176,9,Hard,1049,0,22,0,9,DiagonalChain,True,True,PASS
177,9,Hard,1053,0,22,0,9,SpiralReasoning,True,True,PASS
178,9,Hard,1045,0,21,0,9,RowCascade,True,True,PASS
179,9,Hard,1013,0,18,0,9,CenterOut,True,True,PASS
180,9,Hard,1017,0,18,0,9,Staircase,True,True,PASS
181,9,Hard,1009,0,17,0,9,SmallRegionOpening,True,True,PASS
182,9,Hard,1121,0,27,0,9,LongCorridor,True,True,PASS
183,9,Hard,1065,0,21,0,9,EdgePressure,True,True,PASS
184,9,Hard,961,0,12,0,9,LargeAmbiguousRegion,True,True,PASS
185,9,Hard,1037,0,18,0,9,CenterLock,True,True,PASS
186,9,Hard,957,0,11,0,9,TwoSidedSolve,True,True,PASS
187,9,Hard,1045,0,18,0,9,DiagonalChain,True,True,PASS
188,9,Hard,1037,0,17,0,9,SpiralReasoning,True,True,PASS
189,9,Hard,1101,0,23,0,9,ColumnCascade,True,True,PASS
190,9,Hard,1021,0,15,0,9,LateUnlock,True,True,PASS
191,9,Hard+,1181,0,28,0,9,Staircase,True,True,PASS
192,9,Hard+,1053,0,17,0,9,SmallRegionOpening,True,True,PASS
193,9,Hard+,1069,0,18,0,9,LongCorridor,True,True,PASS
194,9,Hard+,1109,0,21,0,9,EdgePressure,True,True,PASS
195,9,Hard+,1125,0,22,0,9,LargeAmbiguousRegion,True,True,PASS
196,9,Hard+,1093,0,20,0,9,CenterLock,True,True,PASS
197,9,Hard+,1085,0,18,0,9,TwoSidedSolve,True,True,PASS
198,9,Hard+,1149,0,23,0,9,RowCascade,True,True,PASS
199,9,Hard+,1057,0,15,0,9,CenterOut,True,True,PASS
200,9,Hard+,1049,0,14,0,9,ColumnCascade,True,True,PASS
201,9,Hard+,1161,0,23,0,9,LateUnlock,True,True,PASS
202,9,Hard+,1117,0,19,0,9,Staircase,True,True,PASS
203,9,Hard+,1145,0,22,0,9,SmallRegionOpening,True,True,PASS
204,9,Hard+,1017,0,10,0,9,LongCorridor,True,True,PASS
205,9,Hard+,1021,0,10,0,9,EdgePressure,True,True,PASS
206,9,Hard+,1133,0,19,0,9,LargeAmbiguousRegion,True,True,PASS
207,9,Hard+,1053,0,12,0,9,DiagonalChain,True,True,PASS
208,9,Hard+,1129,0,18,0,9,SpiralReasoning,True,True,PASS
209,9,Hard+,1145,0,19,0,9,RowCascade,True,True,PASS
210,9,Hard+,1221,0,26,0,9,CenterOut,True,True,PASS
211,9,Hard+,1213,0,24,0,9,ColumnCascade,True,True,PASS
212,9,Hard+,1085,0,13,0,9,LateUnlock,True,True,PASS
213,9,Hard+,1137,0,17,0,9,Staircase,True,True,PASS
214,9,Hard+,1141,0,17,0,9,SmallRegionOpening,True,True,PASS
215,9,Hard+,1193,0,21,0,9,LongCorridor,True,True,PASS
216,10,Expert,1182,0,19,0,10,CenterLock,True,True,PASS
217,10,Expert,1390,0,37,0,10,TwoSidedSolve,True,True,PASS
218,10,Expert,1262,0,25,0,10,DiagonalChain,True,True,PASS
219,10,Expert,1326,0,30,0,10,SpiralReasoning,True,True,PASS
220,10,Expert,1234,0,22,0,10,RowCascade,True,True,PASS
221,10,Expert,1298,0,27,0,10,CenterOut,True,True,PASS
222,10,Expert,1122,0,12,0,10,ColumnCascade,True,True,PASS
223,10,Expert,1258,0,23,0,10,LateUnlock,True,True,PASS
224,10,Expert,1250,0,23,0,10,Staircase,True,True,PASS
225,10,Expert,1242,0,21,0,10,EdgePressure,True,True,PASS
226,10,Expert,1246,0,21,0,10,LargeAmbiguousRegion,True,True,PASS
227,10,Expert,1250,0,21,0,10,CenterLock,True,True,PASS
228,10,Expert,1158,0,13,0,10,TwoSidedSolve,True,True,PASS
229,10,Expert,1282,0,23,0,10,DiagonalChain,True,True,PASS
230,10,Expert,1406,0,33,0,10,SpiralReasoning,True,True,PASS
231,10,Expert,1218,0,18,0,10,RowCascade,True,True,PASS
232,10,Expert,1198,0,15,0,10,CenterOut,True,True,PASS
233,10,Expert,1250,0,19,0,10,ColumnCascade,True,True,PASS
234,10,Expert,1254,0,19,0,10,SmallRegionOpening,True,True,PASS
235,10,Expert,1234,0,17,0,10,LongCorridor,True,True,PASS
236,11,Expert+,1427,0,32,0,11,EdgePressure,True,True,PASS
237,11,Expert+,1311,0,22,0,11,LargeAmbiguousRegion,True,True,PASS
238,11,Expert+,1291,0,21,0,11,CenterLock,True,True,PASS
239,11,Expert+,1487,0,36,0,11,TwoSidedSolve,True,True,PASS
240,11,Expert+,1491,0,36,0,11,DiagonalChain,True,True,PASS
241,11,Expert+,1267,0,17,0,11,SpiralReasoning,True,True,PASS
242,11,Expert+,1391,0,27,0,11,RowCascade,True,True,PASS
243,11,Expert+,1251,0,15,0,11,LateUnlock,True,True,PASS
244,11,Expert+,1507,0,36,0,11,Staircase,True,True,PASS
245,11,Expert+,1355,0,24,0,11,SmallRegionOpening,True,True,PASS
246,11,Expert+,1563,0,40,0,11,LongCorridor,True,True,PASS
247,11,Expert+,1315,0,19,0,11,EdgePressure,True,True,PASS
248,11,Expert+,1499,0,34,0,11,LargeAmbiguousRegion,True,True,PASS
249,11,Expert+,1347,0,21,0,11,CenterLock,True,True,PASS
250,11,Expert+,1447,0,29,0,11,TwoSidedSolve,True,True,PASS
